QuestionID,question,answer,marks
1,Write an algorithm that prompts the user to enter a number and outputs whether it is even or odd.,number = input("Enter a number")\nif number % 2 == 0 then\n print("Even")\nelse\n print("Odd")\nendif,2
2,Write an algorithm to calculate the factorial of a number entered by the user.,n = input("Enter number")\nfact = 1\nfor i = 1 to n\n fact = fact * i\nnext i\nprint(fact),3
3,Write an algorithm to repeatedly prompt the user to enter numbers until they enter 0, and then output the sum of all numbers entered.,sum = 0\nnumber = input("Enter number")\nwhile number != 0\n sum = sum + number\n number = input("Enter number")\nendwhile\nprint(sum),3
4,Write an algorithm that finds the highest score among teams. The user should enter a team name and score repeatedly until "stop" is entered, then output the winning team and score.,highscore = 0\nwhile team != "stop"\n team = input("Enter team name")\n score = input("Enter score")\n if score > highscore then\n  highscore = score\n  highteam = team\n endif\nendwhile\nprint(highteam, highscore),4
5,Write an algorithm to reverse a string entered by the user.,string = input("Enter string")\nreversed = ""\nfor i = len(string) down to 1\n reversed = reversed + string[i]\nnext i\nprint(reversed),3
6,Write an algorithm to find the smallest number in a list of numbers entered by the user.,n = input("Enter number of values")\nmin = input("Enter number 1")\nfor i = 2 to n\n  number = input("Enter number " + i)\n  if number < min then\n    min = number\n  endif\nnext i\nprint(min),3
7,Write an algorithm to count the number of vowels in a string entered by the user.,string = input("Enter string")\nvowels = "aeiouAEIOU"\ncount = 0\nfor i = 1 to len(string)\n  if string[i] in vowels then\n    count = count + 1\n  endif\nnext i\nprint(count),3
8,Write an algorithm to calculate the sum of the first n natural numbers.,n = input("Enter n")\nsum = 0\nfor i = 1 to n\n  sum = sum + i\nnext i\nprint(sum),2
9,Write an algorithm to check whether a number entered by the user is prime or not.,n = input("Enter number")\nprime = true\nfor i = 2 to n-1\n  if n % i == 0 then\n    prime = false\n    exit for\n  endif\nnext i\nif prime and n > 1 then\n  print("Prime")\nelse\n  print("Not Prime")\nendif,4
10,Write an algorithm to find the average of numbers entered by the user until -1 is entered.,sum = 0\ncount = 0\nnumber = input("Enter number")\nwhile number != -1\n  sum = sum + number\n  count = count + 1\n  number = input("Enter number")\nendwhile\nif count > 0 then\n  average = sum / count\n  print(average)\nelse\n  print("No numbers entered")\nendif,3
11,Write an algorithm to generate the Fibonacci series up to n terms entered by the user.,n = input("Enter number of terms")\na = 0\nb = 1\nprint(a)\nif n > 1 then\n  print(b)\nendif\nfor i = 3 to n\n  c = a + b\n  print(c)\n  a = b\n  b = c\nnext i,3
12,Write an algorithm to count how many times a number occurs in a list entered by the user.,n = input("Enter number of values")\ncount = 0\nfor i = 1 to n\n  number = input("Enter number " + i)\n  if number == target then\n    count = count + 1\n  endif\nnext i\nprint(count),3
13,Write an algorithm to remove all spaces from a string entered by the user.,string = input("Enter string")\nnewstring = ""\nfor i = 1 to len(string)\n  if string[i] != " " then\n    newstring = newstring + string[i]\n  endif\nnext i\nprint(newstring),3
14,Write an algorithm to check whether a string entered by the user is a palindrome.,string = input("Enter string")\nreversed = ""\nfor i = len(string) down to 1\n  reversed = reversed + string[i]\nnext i\nif string == reversed then\n  print("Palindrome")\nelse\n  print("Not Palindrome")\nendif,4
15,Write an algorithm to find the largest of three numbers entered by the user.,a = input("Enter first number")\nb = input("Enter second number")\nc = input("Enter third number")\nmax = a\nif b > max then\n  max = b\nendif\nif c > max then\n  max = c\nendif\nprint(max),2
